pos,role,table,split,row_id,node_idx,column,sem_type,value_seen_by_model,row_timestamp,f2p_edges,is_target,is_mask
38,FULL_ONLY,constructors,Db,21,25439,name of constructors,text,Benetton,,,False,False
39,FULL_ONLY,constructors,Db,21,25439,nationality of constructors,text,Italian,,,False,False
40,FULL_ONLY,races,Db,678,36979,year of races,number,number_z=0.44336,2001-09-30,circuits:Db#18,False,False
41,FULL_ONLY,races,Db,678,36979,round of races,number,number_z=1.4766,2001-09-30,circuits:Db#18,False,False
42,FULL_ONLY,races,Db,678,36979,name of races,text,United States Grand Prix,2001-09-30,circuits:Db#18,False,False
43,FULL_ONLY,races,Db,678,36979,date of races,datetime,2001-09-30,2001-09-30,circuits:Db#18,False,False
44,FULL_ONLY,races,Db,678,36979,time of races,text,00:00:00,2001-09-30,circuits:Db#18,False,False
45,FULL_ONLY,circuits,Db,18,18,circuitRef of circuits,text,indianapolis,,,False,False
46,FULL_ONLY,circuits,Db,18,18,name of circuits,text,Indianapolis Motor Speedway,,,False,False
47,FULL_ONLY,circuits,Db,18,18,location of circuits,text,Indianapolis,,,False,False
48,FULL_ONLY,circuits,Db,18,18,country of circuits,text,USA,,,False,False
49,FULL_ONLY,circuits,Db,18,18,lat of circuits,number,number_z=0.2793,,,False,False
50,FULL_ONLY,circuits,Db,18,18,lng of circuits,number,number_z=-1.3359,,,False,False
51,FULL_ONLY,circuits,Db,18,18,alt of circuits,number,number_z=-0.068848,,,False,False
52,DRIVER_NBR_INDIRECT,standings,Db,24625,88107,points of standings,number,number_z=0.12695,2000-09-24,races:Db#660; drivers:Db#20,False,False
53,DRIVER_NBR_INDIRECT,standings,Db,24625,88107,position of standings,number,number_z=-0.84766,2000-09-24,races:Db#660; drivers:Db#20,False,False
54,DRIVER_NBR_INDIRECT,standings,Db,24625,88107,wins of standings,number,number_z=-0.27148,2000-09-24,races:Db#660; drivers:Db#20,False,False
55,DRIVER_NBR_INDIRECT,standings,Db,24625,88107,date of standings,datetime,2000-09-24,2000-09-24,races:Db#660; drivers:Db#20,False,False
56,FULL_ONLY,races,Db,660,36961,year of races,number,number_z=0.39258,2000-09-24,circuits:Db#18,False,False
57,FULL_ONLY,races,Db,660,36961,round of races,number,number_z=1.2812,2000-09-24,circuits:Db#18,False,False
58,FULL_ONLY,races,Db,660,36961,name of races,text,United States Grand Prix,2000-09-24,circuits:Db#18,False,False
59,FULL_ONLY,races,Db,660,36961,date of races,datetime,2000-09-24,2000-09-24,circuits:Db#18,False,False
60,FULL_ONLY,races,Db,660,36961,time of races,text,00:00:00,2000-09-24,circuits:Db#18,False,False
61,DRIVER_NBR_INDIRECT,driver-dnf,Train,5796,104104,date of driver-dnf,datetime,1996-06-17,1996-06-17,drivers:Db#20,False,False
62,COL+DRIVER_NBR_INDIRECT,driver-dnf,Train,5796,104104,did_not_finish of driver-dnf,boolean,1,1996-06-17,drivers:Db#20,False,False
63,DRIVER_NBR_INDIRECT,standings,Db,24371,87853,points of standings,number,number_z=-0.1543,2000-04-23,races:Db#649; drivers:Db#20,False,False
64,DRIVER_NBR_INDIRECT,standings,Db,24371,87853,position of standings,number,number_z=-0.84766,2000-04-23,races:Db#649; drivers:Db#20,False,False
65,DRIVER_NBR_INDIRECT,standings,Db,24371,87853,wins of standings,number,number_z=-0.27148,2000-04-23,races:Db#649; drivers:Db#20,False,False
66,DRIVER_NBR_INDIRECT,standings,Db,24371,87853,date of standings,datetime,2000-04-23,2000-04-23,races:Db#649; drivers:Db#20,False,False
67,FULL_ONLY,races,Db,649,36950,year of races,number,number_z=0.39258,2000-04-23,circuits:Db#8,False,False
68,FULL_ONLY,races,Db,649,36950,round of races,number,number_z=-0.88281,2000-04-23,circuits:Db#8,False,False
69,FULL_ONLY,races,Db,649,36950,name of races,text,British Grand Prix,2000-04-23,circuits:Db#8,False,False
70,FULL_ONLY,races,Db,649,36950,date of races,datetime,2000-04-23,2000-04-23,circuits:Db#8,False,False
71,FULL_ONLY,races,Db,649,36950,time of races,text,00:00:00,2000-04-23,circuits:Db#8,False,False
72,FULL_ONLY,circuits,Db,8,8,circuitRef of circuits,text,silverstone,,,False,False
73,FULL_ONLY,circuits,Db,8,8,name of circuits,text,Silverstone Circuit,,,False,False
74,FULL_ONLY,circuits,Db,8,8,location of circuits,text,Silverstone,,,False,False
75,FULL_ONLY,circuits,Db,8,8,country of circuits,text,UK,,,False,False
76,FULL_ONLY,circuits,Db,8,8,lat of circuits,number,number_z=0.81641,,,False,False
77,FULL_ONLY,circuits,Db,8,8,lng of circuits,number,number_z=-0.031982,,,False,False
78,FULL_ONLY,circuits,Db,8,8,alt of circuits,number,number_z=-0.26172,,,False,False
79,DRIVER_NBR_INDIRECT,results,Db,16862,54264,number of results,number,number_z=-0.45117,2000-07-02,races:Db#654; drivers:Db#20; constructors:Db#21,False,False
80,DRIVER_NBR_INDIRECT,results,Db,16862,54264,grid of results,number,number_z=0.39258,2000-07-02,races:Db#654; drivers:Db#20; constructors:Db#21,False,False
81,DRIVER_NBR_INDIRECT,results,Db,16862,54264,position of results,number,number_z=0.21484,2000-07-02,races:Db#654; drivers:Db#20; constructors:Db#21,False,False
82,DRIVER_NBR_INDIRECT,results,Db,16862,54264,positionOrder of results,number,number_z=-0.5,2000-07-02,races:Db#654; drivers:Db#20; constructors:Db#21,False,False
83,DRIVER_NBR_INDIRECT,results,Db,16862,54264,points of results,number,number_z=-0.45117,2000-07-02,races:Db#654; drivers:Db#20; constructors:Db#21,False,False
84,DRIVER_NBR_INDIRECT,results,Db,16862,54264,laps of results,number,number_z=0.83984,2000-07-02,races:Db#654; drivers:Db#20; constructors:Db#21,False,False
85,DRIVER_NBR_INDIRECT,results,Db,16862,54264,statusId of results,number,number_z=-0.24805,2000-07-02,races:Db#654; drivers:Db#20; constructors:Db#21,False,False
86,DRIVER_NBR_INDIRECT,results,Db,16862,54264,date of results,datetime,2000-07-02,2000-07-02,races:Db#654; drivers:Db#20; constructors:Db#21,False,False
87,FULL_ONLY,races,Db,654,36955,year of races,number,number_z=0.39258,2000-07-02,circuits:Db#7,False,False
88,FULL_ONLY,races,Db,654,36955,round of races,number,number_z=0.099609,2000-07-02,circuits:Db#7,False,False
89,FULL_ONLY,races,Db,654,36955,name of races,text,French Grand Prix,2000-07-02,circuits:Db#7,False,False
90,FULL_ONLY,races,Db,654,36955,date of races,datetime,2000-07-02,2000-07-02,circuits:Db#7,False,False
91,FULL_ONLY,races,Db,654,36955,time of races,text,00:00:00,2000-07-02,circuits:Db#7,False,False
92,FULL_ONLY,circuits,Db,7,7,circuitRef of circuits,text,magny_cours,,,False,False
93,FULL_ONLY,circuits,Db,7,7,name of circuits,text,Circuit de Nevers Magny-Cours,,,False,False
94,FULL_ONLY,circuits,Db,7,7,location of circuits,text,Magny Cours,,,False,False
95,FULL_ONLY,circuits,Db,7,7,country of circuits,text,France,,,False,False
96,FULL_ONLY,circuits,Db,7,7,lat of circuits,number,number_z=0.58984,,,False,False
97,FULL_ONLY,circuits,Db,7,7,lng of circuits,number,number_z=0.031738,,,False,False
98,FULL_ONLY,circuits,Db,7,7,alt of circuits,number,number_z=-0.05542,,,False,False
99,DRIVER_NBR_INDIRECT,driver-dnf,Train,5742,104050,date of driver-dnf,datetime,2000-03-28,2000-03-28,drivers:Db#20,False,False
100,COL+DRIVER_NBR_INDIRECT,driver-dnf,Train,5742,104050,did_not_finish of driver-dnf,boolean,1,2000-03-28,drivers:Db#20,False,False
101,DRIVER_NBR_INDIRECT,driver-dnf,Train,3636,101944,date of driver-dnf,datetime,1998-03-09,1998-03-09,drivers:Db#20,False,False
102,COL+DRIVER_NBR_INDIRECT,driver-dnf,Train,3636,101944,did_not_finish of driver-dnf,boolean,1,1998-03-09,drivers:Db#20,False,False
103,DRIVER_NBR_INDIRECT,driver-dnf,Train,10723,109031,date of driver-dnf,datetime,2002-08-15,2002-08-15,drivers:Db#20,False,False
104,COL+DRIVER_NBR_INDIRECT,driver-dnf,Train,10723,109031,did_not_finish of driver-dnf,boolean,1,2002-08-15,drivers:Db#20,False,False
105,DRIVER_NBR_INDIRECT,driver-dnf,Train,1400,99708,date of driver-dnf,datetime,2002-03-18,2002-03-18,drivers:Db#20,False,False
106,COL+DRIVER_NBR_INDIRECT,driver-dnf,Train,1400,99708,did_not_finish of driver-dnf,boolean,1,2002-03-18,drivers:Db#20,False,False
107,DRIVER_NBR_INDIRECT,results,Db,17797,55199,number of results,number,number_z=-0.45117,2003-03-09,races:Db#697; drivers:Db#20; constructors:Db#16,False,False
108,DRIVER_NBR_INDIRECT,results,Db,17797,55199,grid of results,number,number_z=0.25391,2003-03-09,races:Db#697; drivers:Db#20; constructors:Db#16,False,False
109,DRIVER_NBR_INDIRECT,results,Db,17797,55199,positionOrder of results,number,number_z=-0.11084,2003-03-09,races:Db#697; drivers:Db#20; constructors:Db#16,False,False
110,DRIVER_NBR_INDIRECT,results,Db,17797,55199,points of results,number,number_z=-0.45117,2003-03-09,races:Db#697; drivers:Db#20; constructors:Db#16,False,False
111,DRIVER_NBR_INDIRECT,results,Db,17797,55199,laps of results,number,number_z=0.19922,2003-03-09,races:Db#697; drivers:Db#20; constructors:Db#16,False,False
112,DRIVER_NBR_INDIRECT,results,Db,17797,55199,statusId of results,number,number_z=-0.43945,2003-03-09,races:Db#697; drivers:Db#20; constructors:Db#16,False,False
113,DRIVER_NBR_INDIRECT,results,Db,17797,55199,date of results,datetime,2003-03-09,2003-03-09,races:Db#697; drivers:Db#20; constructors:Db#16,False,False
114,FULL_ONLY,races,Db,697,36998,year of races,number,number_z=0.53906,2003-03-09,circuits:Db#0,False,False
115,FULL_ONLY,races,Db,697,36998,round of races,number,number_z=-1.4766,2003-03-09,circuits:Db#0,False,False
116,FULL_ONLY,races,Db,697,36998,name of races,text,Australian Grand Prix,2003-03-09,circuits:Db#0,False,False
117,FULL_ONLY,races,Db,697,36998,date of races,datetime,2003-03-09,2003-03-09,circuits:Db#0,False,False
118,FULL_ONLY,races,Db,697,36998,time of races,text,00:00:00,2003-03-09,circuits:Db#0,False,False
119,FULL_ONLY,circuits,Db,0,0,circuitRef of circuits,text,albert_park,,,False,False
120,FULL_ONLY,circuits,Db,0,0,name of circuits,text,Albert Park Grand Prix Circuit,,,False,False
121,FULL_ONLY,circuits,Db,0,0,location of circuits,text,Melbourne,,,False,False
122,FULL_ONLY,circuits,Db,0,0,country of circuits,text,Australia,,,False,False
123,FULL_ONLY,circuits,Db,0,0,lat of circuits,number,number_z=-3.125,,,False,False
124,FULL_ONLY,circuits,Db,0,0,lng of circuits,number,number_z=2.2031,,,False,False
125,FULL_ONLY,circuits,Db,0,0,alt of circuits,number,number_z=-0.65234,,,False,False
126,DRIVER_NBR_INDIRECT,qualifying,Db,2032,28518,number of qualifying,number,number_z=-0.39844,2004-06-19,races:Db#721; drivers:Db#20; constructors:Db#14,False,False
127,DRIVER_NBR_INDIRECT,qualifying,Db,2032,28518,position of qualifying,number,number_z=0.4375,2004-06-19,races:Db#721; drivers:Db#20; constructors:Db#14,False,False
128,DRIVER_NBR_INDIRECT,qualifying,Db,2032,28518,date of qualifying,datetime,2004-06-19,2004-06-19,races:Db#721; drivers:Db#20; constructors:Db#14,False,False
129,FULL_ONLY,constructors,Db,14,25432,constructorRef of constructors,text,sauber,,,False,False
130,FULL_ONLY,constructors,Db,14,25432,name of constructors,text,Sauber,,,False,False
131,FULL_ONLY,constructors,Db,14,25432,nationality of constructors,text,Swiss,,,False,False
132,FULL_ONLY,races,Db,721,37022,year of races,number,number_z=0.58984,2004-06-20,circuits:Db#18,False,False
133,FULL_ONLY,races,Db,721,37022,round of races,number,number_z=0.099609,2004-06-20,circuits:Db#18,False,False
134,FULL_ONLY,races,Db,721,37022,name of races,text,United States Grand Prix,2004-06-20,circuits:Db#18,False,False
135,FULL_ONLY,races,Db,721,37022,date of races,datetime,2004-06-20,2004-06-20,circuits:Db#18,False,False
136,FULL_ONLY,races,Db,721,37022,time of races,text,00:00:00,2004-06-20,circuits:Db#18,False,False
137,DRIVER_NBR_INDIRECT,standings,Db,24800,88282,points of standings,number,number_z=-0.35156,2001-05-27,races:Db#669; drivers:Db#20,False,False
138,DRIVER_NBR_INDIRECT,standings,Db,24800,88282,position of standings,number,number_z=-0.2373,2001-05-27,races:Db#669; drivers:Db#20,False,False
139,DRIVER_NBR_INDIRECT,standings,Db,24800,88282,wins of standings,number,number_z=-0.27148,2001-05-27,races:Db#669; drivers:Db#20,False,False
140,DRIVER_NBR_INDIRECT,standings,Db,24800,88282,date of standings,datetime,2001-05-27,2001-05-27,races:Db#669; drivers:Db#20,False,False
141,FULL_ONLY,races,Db,669,36970,year of races,number,number_z=0.44336,2001-05-27,circuits:Db#5,False,False
142,FULL_ONLY,races,Db,669,36970,round of races,number,number_z=-0.29492,2001-05-27,circuits:Db#5,False,False
143,FULL_ONLY,races,Db,669,36970,name of races,text,Monaco Grand Prix,2001-05-27,circuits:Db#5,False,False
144,FULL_ONLY,races,Db,669,36970,date of races,datetime,2001-05-27,2001-05-27,circuits:Db#5,False,False
145,FULL_ONLY,races,Db,669,36970,time of races,text,00:00:00,2001-05-27,circuits:Db#5,False,False
146,FULL_ONLY,circuits,Db,5,5,circuitRef of circuits,text,monaco,,,False,False
147,FULL_ONLY,circuits,Db,5,5,name of circuits,text,Circuit de Monaco,,,False,False
148,FULL_ONLY,circuits,Db,5,5,location of circuits,text,Monte-Carlo,,,False,False
149,FULL_ONLY,circuits,Db,5,5,country of circuits,text,Monaco,,,False,False
150,FULL_ONLY,circuits,Db,5,5,lat of circuits,number,number_z=0.45117,,,False,False
151,FULL_ONLY,circuits,Db,5,5,lng of circuits,number,number_z=0.09668,,,False,False
152,FULL_ONLY,circuits,Db,5,5,alt of circuits,number,number_z=-0.66016,,,False,False
153,DRIVER_NBR_INDIRECT,results,Db,18210,55612,number of results,number,number_z=-0.45117,2004-05-23,races:Db#718; drivers:Db#20; constructors:Db#14,False,False
154,DRIVER_NBR_INDIRECT,results,Db,18210,55612,grid of results,number,number_z=-0.16113,2004-05-23,races:Db#718; drivers:Db#20; constructors:Db#14,False,False
155,DRIVER_NBR_INDIRECT,results,Db,18210,55612,positionOrder of results,number,number_z=0.79688,2004-05-23,races:Db#718; drivers:Db#20; constructors:Db#14,False,False
156,DRIVER_NBR_INDIRECT,results,Db,18210,55612,points of results,number,number_z=-0.45117,2004-05-23,races:Db#718; drivers:Db#20; constructors:Db#14,False,False
157,DRIVER_NBR_INDIRECT,results,Db,18210,55612,laps of results,number,number_z=-1.4844,2004-05-23,races:Db#718; drivers:Db#20; constructors:Db#14,False,False
158,DRIVER_NBR_INDIRECT,results,Db,18210,55612,fastestLap of results,number,number_z=-2.4219,2004-05-23,races:Db#718; drivers:Db#20; constructors:Db#14,False,False
159,DRIVER_NBR_INDIRECT,results,Db,18210,55612,rank of results,number,number_z=0.91016,2004-05-23,races:Db#718; drivers:Db#20; constructors:Db#14,False,False
160,DRIVER_NBR_INDIRECT,results,Db,18210,55612,statusId of results,number,number_z=-0.51562,2004-05-23,races:Db#718; drivers:Db#20; constructors:Db#14,False,False
161,DRIVER_NBR_INDIRECT,results,Db,18210,55612,date of results,datetime,2004-05-23,2004-05-23,races:Db#718; drivers:Db#20; constructors:Db#14,False,False
162,FULL_ONLY,races,Db,718,37019,year of races,number,number_z=0.58984,2004-05-23,circuits:Db#5,False,False
163,FULL_ONLY,races,Db,718,37019,round of races,number,number_z=-0.49023,2004-05-23,circuits:Db#5,False,False
164,FULL_ONLY,races,Db,718,37019,name of races,text,Monaco Grand Prix,2004-05-23,circuits:Db#5,False,False
165,FULL_ONLY,races,Db,718,37019,date of races,datetime,2004-05-23,2004-05-23,circuits:Db#5,False,False
166,FULL_ONLY,races,Db,718,37019,time of races,text,00:00:00,2004-05-23,circuits:Db#5,False,False
167,DRIVER_NBR_INDIRECT,results,Db,15832,53234,number of results,number,number_z=-0.38672,1997-08-10,races:Db#607; drivers:Db#20; constructors:Db#16,False,False
168,DRIVER_NBR_INDIRECT,results,Db,15832,53234,grid of results,number,number_z=0.25391,1997-08-10,races:Db#607; drivers:Db#20; constructors:Db#16,False,False
169,DRIVER_NBR_INDIRECT,results,Db,15832,53234,positionOrder of results,number,number_z=0.53906,1997-08-10,races:Db#607; drivers:Db#20; constructors:Db#16,False,False
170,DRIVER_NBR_INDIRECT,results,Db,15832,53234,points of results,number,number_z=-0.45117,1997-08-10,races:Db#607; drivers:Db#20; constructors:Db#16,False,False
171,DRIVER_NBR_INDIRECT,results,Db,15832,53234,laps of results,number,number_z=-0.13672,1997-08-10,races:Db#607; drivers:Db#20; constructors:Db#16,False,False
172,DRIVER_NBR_INDIRECT,results,Db,15832,53234,statusId of results,number,number_z=0.09668,1997-08-10,races:Db#607; drivers:Db#20; constructors:Db#16,False,False
173,DRIVER_NBR_INDIRECT,results,Db,15832,53234,date of results,datetime,1997-08-10,1997-08-10,races:Db#607; drivers:Db#20; constructors:Db#16,False,False
174,FULL_ONLY,races,Db,607,36908,year of races,number,number_z=0.24512,1997-08-10,circuits:Db#10,False,False
175,FULL_ONLY,races,Db,607,36908,round of races,number,number_z=0.49414,1997-08-10,circuits:Db#10,False,False
176,FULL_ONLY,races,Db,607,36908,name of races,text,Hungarian Grand Prix,1997-08-10,circuits:Db#10,False,False
177,FULL_ONLY,races,Db,607,36908,date of races,datetime,1997-08-10,1997-08-10,circuits:Db#10,False,False
178,FULL_ONLY,races,Db,607,36908,time of races,text,00:00:00,1997-08-10,circuits:Db#10,False,False
179,FULL_ONLY,circuits,Db,10,10,circuitRef of circuits,text,hungaroring,,,False,False
180,FULL_ONLY,circuits,Db,10,10,name of circuits,text,Hungaroring,,,False,False
181,FULL_ONLY,circuits,Db,10,10,location of circuits,text,Budapest,,,False,False
182,FULL_ONLY,circuits,Db,10,10,country of circuits,text,Hungary,,,False,False
183,FULL_ONLY,circuits,Db,10,10,lat of circuits,number,number_z=0.62109,,,False,False
184,FULL_ONLY,circuits,Db,10,10,lng of circuits,number,number_z=0.27734,,,False,False
185,FULL_ONLY,circuits,Db,10,10,alt of circuits,number,number_z=0.043213,,,False,False
186,DRIVER_NBR_INDIRECT,driver-dnf,Train,3648,101956,date of driver-dnf,datetime,1996-04-18,1996-04-18,drivers:Db#20,False,False
187,COL+DRIVER_NBR_INDIRECT,driver-dnf,Train,3648,101956,did_not_finish of driver-dnf,boolean,1,1996-04-18,drivers:Db#20,False,False
188,DRIVER_NBR_INDIRECT,qualifying,Db,1966,28452,number of qualifying,number,number_z=-0.39844,2004-05-08,races:Db#717; drivers:Db#20; constructors:Db#14,False,False
189,DRIVER_NBR_INDIRECT,qualifying,Db,1966,28452,position of qualifying,number,number_z=0.12012,2004-05-08,races:Db#717; drivers:Db#20; constructors:Db#14,False,False
190,DRIVER_NBR_INDIRECT,qualifying,Db,1966,28452,date of qualifying,datetime,2004-05-08,2004-05-08,races:Db#717; drivers:Db#20; constructors:Db#14,False,False
191,FULL_ONLY,races,Db,717,37018,year of races,number,number_z=0.58984,2004-05-09,circuits:Db#3,False,False
192,FULL_ONLY,races,Db,717,37018,round of races,number,number_z=-0.6875,2004-05-09,circuits:Db#3,False,False
193,FULL_ONLY,races,Db,717,37018,name of races,text,Spanish Grand Prix,2004-05-09,circuits:Db#3,False,False
194,FULL_ONLY,races,Db,717,37018,date of races,datetime,2004-05-09,2004-05-09,circuits:Db#3,False,False
195,FULL_ONLY,races,Db,717,37018,time of races,text,00:00:00,2004-05-09,circuits:Db#3,False,False
196,FULL_ONLY,circuits,Db,3,3,circuitRef of circuits,text,catalunya,,,False,False
197,FULL_ONLY,circuits,Db,3,3,name of circuits,text,Circuit de Barcelona-Catalunya,,,False,False
198,FULL_ONLY,circuits,Db,3,3,location of circuits,text,Montmeló,,,False,False
199,FULL_ONLY,circuits,Db,3,3,country of circuits,text,Spain,,,False,False
200,FULL_ONLY,circuits,Db,3,3,lat of circuits,number,number_z=0.35547,,,False,False
201,FULL_ONLY,circuits,Db,3,3,lng of circuits,number,number_z=0.018066,,,False,False
202,FULL_ONLY,circuits,Db,3,3,alt of circuits,number,number_z=-0.38086,,,False,False
203,DRIVER_NBR_INDIRECT,standings,Db,24573,88055,points of standings,number,number_z=0.12695,2000-08-27,races:Db#658; drivers:Db#20,False,False
204,DRIVER_NBR_INDIRECT,standings,Db,24573,88055,position of standings,number,number_z=-0.84766,2000-08-27,races:Db#658; drivers:Db#20,False,False
205,DRIVER_NBR_INDIRECT,standings,Db,24573,88055,wins of standings,number,number_z=-0.27148,2000-08-27,races:Db#658; drivers:Db#20,False,False
206,DRIVER_NBR_INDIRECT,standings,Db,24573,88055,date of standings,datetime,2000-08-27,2000-08-27,races:Db#658; drivers:Db#20,False,False
207,FULL_ONLY,races,Db,658,36959,year of races,number,number_z=0.39258,2000-08-27,circuits:Db#12,False,False
208,FULL_ONLY,races,Db,658,36959,round of races,number,number_z=0.88672,2000-08-27,circuits:Db#12,False,False
209,FULL_ONLY,races,Db,658,36959,name of races,text,Belgian Grand Prix,2000-08-27,circuits:Db#12,False,False
210,FULL_ONLY,races,Db,658,36959,date of races,datetime,2000-08-27,2000-08-27,circuits:Db#12,False,False
211,FULL_ONLY,races,Db,658,36959,time of races,text,00:00:00,2000-08-27,circuits:Db#12,False,False
212,FULL_ONLY,circuits,Db,12,12,circuitRef of circuits,text,spa,,,False,False
213,FULL_ONLY,circuits,Db,12,12,name of circuits,text,Circuit de Spa-Francorchamps,,,False,False
214,FULL_ONLY,circuits,Db,12,12,location of circuits,text,Spa,,,False,False
215,FULL_ONLY,circuits,Db,12,12,country of circuits,text,Belgium,,,False,False
216,FULL_ONLY,circuits,Db,12,12,lat of circuits,number,number_z=0.74609,,,False,False
217,FULL_ONLY,circuits,Db,12,12,lng of circuits,number,number_z=0.074707,,,False,False
218,FULL_ONLY,circuits,Db,12,12,alt of circuits,number,number_z=0.41797,,,False,False
219,DRIVER_NBR_INDIRECT,results,Db,17051,54453,number of results,number,number_z=-0.45117,2000-10-22,races:Db#662; drivers:Db#20; constructors:Db#21,False,False
220,DRIVER_NBR_INDIRECT,results,Db,17051,54453,grid of results,number,number_z=0.25391,2000-10-22,races:Db#662; drivers:Db#20; constructors:Db#21,False,False
221,DRIVER_NBR_INDIRECT,results,Db,17051,54453,position of results,number,number_z=0.21484,2000-10-22,races:Db#662; drivers:Db#20; constructors:Db#21,False,False
222,DRIVER_NBR_INDIRECT,results,Db,17051,54453,positionOrder of results,number,number_z=-0.5,2000-10-22,races:Db#662; drivers:Db#20; constructors:Db#21,False,False
223,DRIVER_NBR_INDIRECT,results,Db,17051,54453,points of results,number,number_z=-0.45117,2000-10-22,races:Db#662; drivers:Db#20; constructors:Db#21,False,False
224,DRIVER_NBR_INDIRECT,results,Db,17051,54453,laps of results,number,number_z=0.30078,2000-10-22,races:Db#662; drivers:Db#20; constructors:Db#21,False,False
